Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://www.makemytrip.com/,1,3045,3045,3045,3045,3045,3045,3045,0.000%,.32841,78.53,0.04
TOTAL,1,3045,3045,3045,3045,3045,3045,3045,0.000%,.32841,78.53,0.04
